method,A_AUC,AF_s,source
Bare,18.5 ± 1.5,-65.4 ± 3.1,paper
Joint,71.6 ± 1.4,–,paper
A-GEM,34.1 ± 1.4,-48.6 ± 4.4,paper
ER,34.9 ± 0.8,-37.3 ± 2.8,paper
GSS,24.2 ± 3.2,-60.4 ± 5.6,paper
MAS*,38.4 ± 2.1,-22.2 ± 1.8,paper
SSM,28.0 ± 4.3,-64.5 ± 1.9,paper
SEM,26.8 ± 1.0,-59.7 ± 6.9,paper
DMSG,31.6 ± 0.9,-31.9 ± 2.9,paper
A-GEM,33.5 ± 1.6 (n=3),-50.3 ± 6.2,reproduced
Bare,22.2 ± 1.8 (n=3),-63.1 ± 4.9,reproduced
"CLS-ER (plastic_alpha=0.99, plastic_update_freq=1, reg_weight=0, stable_alpha=0.99, stable_update_freq=0.9)",36.4 ± 1.8 (n=3),-36.0 ± 2.2,new
"CLS-ER (plastic_alpha=0.99, plastic_update_freq=1, reg_weight=1.25, stable_alpha=0.99, stable_update_freq=0.9)",37.2 ± 0.4 (n=3),-32.9 ± 1.2,new
DER (alpha=1),41.3 ± 0.8 (n=3),-26.9 ± 3.0,new
"DER++ + CLS-ER (CBRS) (alpha=0.5, beta=0, ema_alpha=0.99, ema_update_freq=0.9, gamma=1.25)",33.9 ± 1.0 (n=3),-38.5 ± 1.5,new
"DER++ + CLS-ER (CBRS) (alpha=0.5, beta=0.5, ema_alpha=0.99, ema_update_freq=0.9, gamma=0)",32.3 ± 1.7 (n=3),-41.5 ± 1.9,new
"DER++ + CLS-ER (CBRS) (alpha=0.5, beta=0.5, ema_alpha=0.99, ema_update_freq=0.9, gamma=1.25)",31.8 ± 1.5 (n=3),-39.0 ± 2.1,new
"DER++ (alpha=0.5, beta=0.5)",37.4 ± 0.8 (n=3),-37.3 ± 0.6,new
DMSG,32.3 ± 1.6 (n=3),-29.5 ± 2.5,reproduced
ER,35.6 ± 1.7 (n=3),-38.0 ± 0.8,reproduced
ER-CBRS,30.2 ± 1.2 (n=3),-41.7 ± 3.2,new
"LwF-online (T=20, lambda_dist=10, update_every=100)",39.9 ± 2.5 (n=3),-41.6 ± 3.2,new
PDGNN [SGC],34.5 ± 1.3 (n=3),-41.9 ± 0.3,new
MAS*,42.6 ± 1.1 (n=3),-14.3 ± 2.1,reproduced
