dataset,backbone,method,buffer_bytes,extra_param_count,extra_param_bytes,total_bytes
Arxiv-CL,GCN,agem,1600,0,0,1600
Arxiv-CL,GCN,bare,0,0,0,0
Arxiv-CL,GCN,clser_plastic_alpha0.99_plastic_update_freq1.0_reg_weight0.0_stable_alpha0.99_stable_update_freq0.9,1600,86016,344064,345664
Arxiv-CL,GCN,clser_plastic_alpha0.99_plastic_update_freq1.0_reg_weight1.25_stable_alpha0.99_stable_update_freq0.9,1600,86016,344064,345664
Arxiv-CL,GCN,der_alpha1.0,17600,0,0,17600
Arxiv-CL,GCN,dercls_alpha0.5_beta0.0_ema_alpha0.99_ema_update_freq0.9_gamma1.25,17600,43008,172032,189632
Arxiv-CL,GCN,dercls_alpha0.5_beta0.5_ema_alpha0.99_ema_update_freq0.9_gamma0.0,17600,43008,172032,189632
Arxiv-CL,GCN,dercls_alpha0.5_beta0.5_ema_alpha0.99_ema_update_freq0.9_gamma1.25,17600,43008,172032,189632
Arxiv-CL,GCN,derpp_alpha0.5_beta0.5,17600,0,0,17600
Arxiv-CL,GCN,dmsg,1600,16513,66052,67652
Arxiv-CL,GCN,er,1600,0,0,1600
Arxiv-CL,GCN,er_cbrs,1600,0,0,1600
Arxiv-CL,GCN,lwf_online_T20.0_lambda_dist10.0_update_every100.0,0,43008,172032,172032
Arxiv-CL,GCN,tfmas,0,86016,344064,344064
Arxiv-CL,SGC,pdgnn,52800,0,0,52800
CoraFull-CL,GCN,agem,1600,0,0,1600
CoraFull-CL,GCN,bare,0,0,0,0
CoraFull-CL,GCN,clser_plastic_alpha0.95_plastic_update_freq1.0_reg_weight0.0_stable_alpha0.99444_stable_update_freq0.9,1600,4495360,17981440,17983040
CoraFull-CL,GCN,clser_plastic_alpha0.95_plastic_update_freq1.0_reg_weight0.1_stable_alpha0.99444_stable_update_freq0.9,1600,4495360,17981440,17983040
CoraFull-CL,GCN,der_alpha0.5,29600,0,0,29600
CoraFull-CL,GCN,dercls_alpha1.0_beta0.0_ema_alpha0.99444_ema_update_freq0.9_gamma0.1,29600,2247680,8990720,9020320
CoraFull-CL,GCN,dercls_alpha1.0_beta0.5_ema_alpha0.99444_ema_update_freq0.9_gamma0.0,29600,2247680,8990720,9020320
CoraFull-CL,GCN,dercls_alpha1.0_beta0.5_ema_alpha0.99444_ema_update_freq0.9_gamma0.1,29600,2247680,8990720,9020320
CoraFull-CL,GCN,derpp_alpha0.5_beta1.0,29600,0,0,29600
CoraFull-CL,GCN,dmsg,1600,16513,66052,67652
CoraFull-CL,GCN,er,1600,0,0,1600
CoraFull-CL,GCN,er_cbrs,1600,0,0,1600
CoraFull-CL,GCN,lwf_online_T2.0_lambda_dist10.0_update_every100.0,0,2247680,8990720,8990720
CoraFull-CL,GCN,tfmas,0,4495360,17981440,17981440
CoraFull-CL,SGC,pdgnn,3485600,0,0,3485600
